,ticker,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
159,NASDAQ:FOXX,FOXX,Foxx Development Holdings Inc.,foxx-development,stock,['common'],44819745.87339743,USD,6.61,100,1,false,0,USD,5.9294871794871815,88493,,,,0.0,Distribution services,Distribution Services,america,,3.5600980009574803
160,NASDAQ:ABCL,ABCL,AbCellera Biologics Inc.,abcellera-biologics,stock,['common'],1344748123.0588238,USD,4.5,100,1,false,0,USD,5.88235294117647,7740517,,-0.5586,-6.278538812785395,0.0,Health technology,Health Technology,america,1.125,1.3264234713429328
161,NASDAQ:ATYR,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],549705032.4056604,USD,5.61,100,1,false,0,USD,5.849056603773595,4690830,,-0.7974,11.889502762430942,0.0,Health technology,Health Technology,america,1.0,0.7873551319379584
162,NASDAQ:MFI,MFI,mF International Limited,,stock,['common'],61935002.01,USD,39.57,100,1,false,0,USD,5.830435945439957,57641,,-0.1956,,0.0,Technology services,Technology Services,america,,1.7465276094439328
163,NYSE:VLN,VLN,Valens Semiconductor Ltd.,valens,stock,['common'],230466685.57281554,USD,2.18,100,1,false,0,USD,5.825242718446607,808623,,-0.3145,-13.949275362318831,0.0,Electronic technology,Electronic Technology,america,1.0,0.8025633258643935
164,NASDAQ:SIGA,SIGA,SIGA Technologies Inc.,siga-technologies,stock,['common'],678824909.6249999,USD,9.48,100,1,false,0,USD,5.8035714285714235,1421877,8.25496342737722,1.1484,-2.677966101694903,0.0,Health technology,Health Technology,america,,2.298587442710188
165,NASDAQ:PTLO,PTLO,Portillo's Inc.,portillo-s,stock,['common'],591481128.2008086,USD,7.85,100,1,false,0,USD,5.795148247978433,3828253,17.188526384935404,0.4567,19.36748562467329,0.0,Consumer services,Consumer Services,america,1.363636,0.8020197914844451
166,NYSE:ARL,ARL,"American Realty Investors, Inc.",american-realty-investors,stock,['common'],221282977.62162164,USD,13.7,100,1,false,0,USD,5.7915057915057915,4696,,-0.7324,-412.7241673783091,0.0,Finance,Finance,america,,1.2497671324018629
167,NYSE:LZM,LZM,Lifezone Metals Limited,lifezone-metals-limited,stock,['common'],361576439.7662037,USD,4.57,100,1,false,0,USD,5.787037037037036,128737,,,,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.1671542766584557
168,NASDAQ:RNAZ,RNAZ,"TransCode Therapeutics, Inc.",transcode-therapeutics,stock,['common'],9162175.7786333,USD,10.99,100,1,false,0,USD,5.774783445620786,17290,,-1057.408,99.44426306193687,0.0,Health technology,Health Technology,america,,0.36122729532890696
169,NASDAQ:GAUZ,GAUZ,Gauzy Ltd.,gauzy-ltd,stock,['common'],123643977.6,USD,6.6,100,1,false,0,USD,5.769230769230759,50766,,-2.7118,30.169439151259198,0.0,Process industries,Process Industries,america,1.5,0.9730357580961727
170,NASDAQ:HUT,HUT,Hut 8 Corp.,hut-8-mining,stock,['common'],2170709582.2633543,USD,20.57,100,1,false,0,USD,5.731174505268579,6129461,14.670217853091712,1.4021605,30.167395232857565,0.0,Technology services,Technology Services,america,1.0,1.442131038795983
171,NYSE:SKYH,SKYH,Sky Harbour Group Corporation,sky-harbour,stock,['common'],830904904.604247,USD,10.95,100,1,false,0,USD,5.694980694980694,91600,,-1.3399,8.663940013633265,0.0,Finance,Finance,america,1.166667,0.9210371521853014
172,NASDAQ:CCOI,CCOI,"Cogent Communications Holdings, Inc.",cogent-communications-holdings,stock,['common'],1591552622.2077072,USD,32.36,100,1,false,0,USD,5.682560418027427,4896248,,-4.5481,-601.1128250330543,13.0470280862182,Communications,Communications,america,1.571429,3.1042821771302704
173,NASDAQ:BEEM,BEEM,Beam Global,beam-global,stock,['common'],34554637.28301887,USD,2.24,100,1,false,0,USD,5.660377358490571,217213,,-1.5975,-39.604998689154925,0.0,Producer manufacturing,Producer Manufacturing,america,1.2,1.1261293021837928
174,NASDAQ:EDRY,EDRY,EuroDry Ltd.,eurodry,stock,['common'],30160859.41980198,USD,10.67,100,1,false,0,USD,5.643564356435647,1697,,-4.2354,-269.06587661206004,0.0,Transportation,Transportation,america,1.333333,1.4496839227746456
175,NYSE:FIG,FIG,FIGMA INC,figma,stock,['common'],33633674250.0,USD,82.5,100,1,false,0,USD,5.620279093585969,8629713,,-1.512,-197.46035838597396,0.0,Technology services,Technology Services,america,,
176,NASDAQ:LRMR,LRMR,"Larimar Therapeutics, Inc.",larimar-therapeutics,stock,['common'],312900429.2681564,USD,3.78,100,1,false,0,USD,5.5865921787709425,1345412,,-1.4914,-54.293399544796195,0.0,Health technology,Health Technology,america,1.045455,0.6057933390523124
177,NASDAQ:RIGL,RIGL,"Rigel Pharmaceuticals, Inc.",rigel-pharmaceuticals,stock,['common'],600183403.7886435,USD,33.46,100,1,false,0,USD,5.552050473186125,1186528,6.180958362581742,5.4134,,0.0,Health technology,Health Technology,america,1.666667,1.6797851511346245
