,ticker,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
116,NASDAQ:FLGC,FLGC,Flora Growth Corp.,flora-growth,stock,['common'],3.8207209468819627,20.6,100,1,false,0,USD,9.777673565962534,56898,11920868.447978172,USD,,-0.8829,38.52955510687182,0.0,Health technology,Health Technology,america,1.0
117,NASDAQ:RUM,RUM,Rumble Inc.,rumble,stock,['common'],3.7569032893568237,8.12,100,1,false,0,USD,3.0456852791878086,9120027,3527519049.7918777,USD,,-1.4337,-125.99306431273645,0.0,Technology services,Technology Services,america,1.666667
118,NASDAQ:CPSH,CPSH,CPS Technologies Corp.,cps-technologies,stock,['common'],3.7548443432278753,3.32,100,1,false,0,USD,16.491228070175428,362068,48226186.03508772,USD,,-0.1266,-132.7205882352941,0.0,Producer manufacturing,Producer Manufacturing,america,
119,NASDAQ:VVPR,VVPR,VivoPower International PLC,vivopower,stock,['common'],3.7442310210234653,5.94,100,1,false,0,USD,16.470588235294134,6348471,60066539.04705883,USD,,-6.5047,-103.78132832080198,0.0,Utilities,Utilities,america,
120,NASDAQ:ATII,ATII,Archimedes Tech SPAC Partners II Co.,archimedes-tech-spac-partners-ii-co,stock,['common'],3.709955007634913,10.2,100,1,false,0,USD,-0.2932551319648205,217935,301818000.0,USD,86.73469387755102,0.1176,,0.0,Finance,Finance,america,
121,NASDAQ:APWC,APWC,Asia Pacific Wire & Cable Corporation Limited,asia-pacific-wire-cable,stock,['common'],3.6964054355358704,1.7065,100,1,false,0,USD,-0.7502617192043813,12268,35181590.67698033,USD,,,,0.0,Electronic technology,Electronic Technology,america,
122,NASDAQ:GDEN,GDEN,"Golden Entertainment, Inc.",golden-entertainment,stock,['common'],3.6399119929474097,24.54,100,1,false,0,USD,-2.696272799365582,677962,648721890.2997621,USD,45.41080680977054,0.5404,-93.92413033212655,3.96510705789056,Consumer services,Consumer Services,america,1.375
123,NASDAQ:GCMG,GCMG,GCM Grosvenor Inc.,gcm-grosvenor,stock,['common'],3.6028910671931134,12.91,100,1,false,0,USD,2.5416997617156496,1822365,2474334055.655282,USD,91.3012729844413,0.1414,,3.49483717235902,Finance,Finance,america,1.4
124,NASDAQ:KVHI,KVHI,"KVH Industries, Inc.",kvh-industries,stock,['common'],3.587906179226816,5.22,100,1,false,0,USD,-1.1363636363636458,72400,101814875.07954547,USD,,-0.3232,71.66900420757364,0.0,Electronic technology,Electronic Technology,america,
125,NASDAQ:FRD,FRD,Friedman Industries Inc.,friedman-industries,stock,['common'],3.5805153248374793,17.41,100,1,false,0,USD,8.541147132169582,64228,122904859.51745637,USD,14.352844187963726,1.213,-29.097498246434416,0.997506234413965,Non-energy minerals,Non-Energy Minerals,america,
126,NASDAQ:AMPH,AMPH,"Amphastar Pharmaceuticals, Inc.",amphastar-pharmaceuticals,stock,['common'],3.570691702399546,27.36,100,1,false,0,USD,14.909701805963884,1815430,1272105333.8731625,USD,10.243354548858106,2.671,-14.9010736929302,0.0,Health technology,Health Technology,america,1.666667
127,NASDAQ:FOXX,FOXX,Foxx Development Holdings Inc.,foxx-development,stock,['common'],3.5600980009574803,6.61,100,1,false,0,USD,5.9294871794871815,88493,44819745.87339743,USD,,,,0.0,Distribution services,Distribution Services,america,
128,NYSE:ECO,ECO,Okeanis Eco Tankers Corp.,sector/energy,stock,['common'],3.544485632253599,24.2,100,1,false,0,USD,-0.9819967266775859,379988,766656623.8134205,USD,9.755311000927158,2.4807,-40.93008857986475,9.08346972176759,Transportation,Transportation,america,1.0
