,ticker,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
164,NYSE:APH,APH,Amphenol Corporation,amphenol,stock,['common'],3226400000.0,USD,109.81,100,1,false,0,USD,-0.15457355882887952,4859420,134069354758.42688,43.81009375623379,2.5065,49.34755407257344,0.600109110747409,Electronic technology,Electronic Technology,america,1.447368,0.5658065640440421
165,NYSE:MSI,MSI,"Motorola Solutions, Inc.",motorola-solutions,stock,['common'],3206000000.0,USD,460.94,100,1,false,0,USD,1.660748549877588,1538937,76794400947.25851,37.09868246315806,12.4247,45.51214484810155,0.937341479014578,Electronic technology,Electronic Technology,america,1.384615,1.3756720978588963
166,NASDAQ:NXPI,NXPI,NXP Semiconductors N.V.,nxp-semiconductors,stock,['common'],3170000000.00796,USD,205.16,100,1,false,0,USD,-0.9654373431164317,3902450,51723830918.07414,24.454960485380184,8.3893,-21.615106468461224,1.95790693184012,Electronic technology,Electronic Technology,america,1.25,1.6409539932837973
167,NYSE:CNH,CNH,CNH Industrial N.V.,cnh,stock,['common'],3147000000.0,USD,12.47,100,1,false,0,USD,0.3218020917136036,8703251,15597725113.079645,18.974437005477785,0.6572,-57.321904019741545,2.01126307320998,Producer manufacturing,Producer Manufacturing,america,1.547619,0.6129841440232148
168,NASDAQ:LBTYA,LBTYA,Liberty Global Ltd.,liberty-global,stock,['common'],3144600000.0,USD,10.96,100,1,false,0,USD,-0.634632819582942,1767398,3759549554.3934727,,,,0.0,Communications,Communications,america,1.714286,0.6498480812013198
169,NASDAQ:FWONA,FWONA,Liberty Media Corporation - Series A Liberty Formula One,liberty-media,stock,['common'],3140000000.0,USD,84.9,100,1,false,0,USD,-0.8987977121512735,69561,31068761670.301155,80.17754273302485,1.0589,5.953572143285971,0.0,Technology services,Technology Services,america,1.289474,0.9346782689082858
170,NYSE:KEYS,KEYS,Keysight Technologies Inc.,keysight-technologies,stock,['common'],3118000000.0,USD,161.49,100,1,false,0,USD,-2.1035402521823463,744740,27793860318.68489,37.92892876435635,4.2577,-7.097970761509936,0.0,Electronic technology,Electronic Technology,america,1.357143,0.9320973454362224
171,NASDAQ:GFS,GFS,GlobalFoundries Inc.,globalfoundries,stock,['common'],3095000000.0,USD,31.62,100,1,false,0,USD,-2.0749458036543764,3190927,17483104553.489006,,-0.2148,-114.68517125863129,0.0,Electronic technology,Electronic Technology,america,1.522727,0.9383897040737573
172,NYSE:CMI,CMI,Cummins Inc.,cummins,stock,['common'],3074000000.0,USD,388.31,100,1,false,0,USD,0.3307237165077719,839859,53503691587.725105,18.262840802735358,21.2623,54.082453457784084,1.88099113763791,Producer manufacturing,Producer Manufacturing,america,1.673913,0.7744723159890649
173,NASDAQ:JBLU,JBLU,JetBlue Airways Corporation,jetblue,stock,['common'],3064000000.0,USD,4.27,100,1,false,0,USD,-1.385681293302552,11124868,1552847083.6558888,,-1.0911,61.07384944702105,0.0,Transportation,Transportation,america,2.40625,0.5813466093258237
174,NASDAQ:TROW,TROW,"T. Rowe Price Group, Inc.",rowe-price,stock,['common'],3058900000.0,USD,105.27,100,1,false,0,USD,0.1998857795545343,1123712,23129422827.427757,11.771217712177123,8.943,5.656766144467282,4.77822196839901,Finance,Finance,america,2.3,0.6157190063145455
175,NASDAQ:UTHR,UTHR,United Therapeutics Corporation,united-therapeutics,stock,['common'],3048700000.0,USD,300.43,100,1,false,0,USD,-0.354892205638472,629902,13587325633.582718,11.73064383246065,25.6107,17.65567933846332,0.0,Health technology,Health Technology,america,1.333333,0.7109456845542095
176,NASDAQ:ZS,ZS,"Zscaler, Inc.",zscaler,stock,['common'],3005591000.0,USD,271.18,100,1,false,0,USD,0.5506219989247163,1281123,42221555299.163124,,-0.2541,49.51321279554937,0.0,Technology services,Technology Services,america,1.333333,0.6983610750304665
177,NASDAQ:DJT,DJT,Trump Media & Technology Group Corp.,digital-world-acquisition-corp,stock,['common'],2963200100.0,USD,17.24,100,1,false,0,USD,1.4714537963507948,6155445,4776642141.39847,,-0.4934,87.92698443770188,0.0,Commercial services,Commercial Services,america,,0.9589671347941888
178,NYSE:DHR,DHR,Danaher Corporation,danaher,stock,['common'],2957000000.0,USD,199.76,100,1,false,0,USD,-0.39888312724372327,2566287,143038460822.20782,42.42810415870184,4.7082,-16.44572219560241,0.588352612684483,Health technology,Health Technology,america,1.166667,0.5632909033512791
179,NASDAQ:TEAM,TEAM,Atlassian Corporation,atlassian,stock,['common'],2937142000.01931,USD,159.28,100,1,false,0,USD,-5.224324645959777,5298278,41930929675.07558,,-0.982,15.198618307426592,0.0,Technology services,Technology Services,america,1.274194,1.8524898930440765
180,NASDAQ:DXCM,DXCM,"DexCom, Inc.",dexcom,stock,['common'],2929300000.0,USD,77.85,100,1,false,0,USD,-1.2807506974385052,4224440,30529285897.58559,54.501540184822176,1.4284,-11.979295045600205,0.0,Health technology,Health Technology,america,1.224138,0.8768005956309659
181,NYSE:SNAP,SNAP,Snap Inc.,snap,stock,['common'],2893045000.0,USD,7.19,100,1,false,0,USD,-2.9689608636977023,51546421,12149896596.794872,,-0.3259,54.37491250174996,0.0,Technology services,Technology Services,america,1.928571,0.792703416721896
182,NASDAQ:SSNC,SSNC,"SS&C Technologies Holdings, Inc.",ss-and-c,stock,['common'],2891400000.0,USD,85.53,100,1,false,0,USD,-1.4631336405529909,1092910,20888192252.636753,26.941128295586985,3.1747,14.942070963070242,1.15207373271889,Technology services,Technology Services,america,1.25,0.8527536066333308
183,NYSE:TGT,TGT,Target Corporation,target,stock,['common'],2887000000.0,USD,104.01,100,1,false,0,USD,-1.3187855787476286,5019424,47258598542.8426,11.432308554721422,9.0979,2.0023992914242084,4.25047438330171,Retail trade,Retail Trade,america,1.842105,1.024199426921188
184,NYSE:CRH,CRH,CRH PLC,crh,stock,['common'],2876000000.02786,USD,107.42,100,1,false,0,USD,-1.720036596523326,4483631,72257064212.38518,22.45260539681876,4.7843,-0.8928201516344184,1.31517017383349,Non-energy minerals,Non-Energy Minerals,america,1.23913,0.9441717560287665
185,NASDAQ:ALNY,ALNY,"Alnylam Pharmaceuticals, Inc.",alnylam-pharmaceuticals,stock,['common'],2857585000.0,USD,435.0,100,1,false,0,USD,-0.8953591688879792,988640,57019368403.253365,,-2.467,-310.0049858733588,0.0,Health technology,Health Technology,america,1.333333,0.6342881830720556
186,NYSE:AER,AER,AerCap Holdings N.V.,aercap,stock,['common'],2846149000.02757,USD,110.37,100,1,false,0,USD,0.11792452830189556,1142225,19487650721.20401,6.877278250303767,16.0485,3.365988445114297,0.943396226415094,Finance,Finance,america,1.222222,0.6591317701484358
187,NASDAQ:ON,ON,ON Semiconductor Corporation,on-semiconductor,stock,['common'],2829600000.0,USD,47.1,100,1,false,0,USD,-1.1749895090222309,8317301,19262675292.28074,43.94476581451763,1.0718,-75.59598351510736,0.0,Electronic technology,Electronic Technology,america,1.583333,0.6601199141375156
188,NASDAQ:LCID,LCID,"Lucid Group, Inc.",lucid-group,stock,['common'],2825872000.0,USD,2.19,100,1,false,0,USD,2.8169014084507067,117142812,6728764667.929578,,-1.1533,3.9636938962444903,0.0,Consumer durables,Consumer Durables,america,2.117647,1.3089565657941282
189,NYSE:DOW,DOW,Dow Inc.,dow,stock,['common'],2823000000.0,USD,20.87,100,1,false,0,USD,-1.649387370405268,20708374,14793576226.358624,,-1.4006,-186.6815199900978,13.1950989632422,Process industries,Process Industries,america,1.92,1.1633471199948746
190,NASDAQ:CDNS,CDNS,"Cadence Design Systems, Inc.",cadence-design-systems,stock,['common'],2822762000.0,USD,349.09,100,1,false,0,USD,-0.8436062034880496,1624548,95123530031.61317,94.45586882407055,3.6958,-4.427204551331776,0.0,Technology services,Technology Services,america,1.384615,0.6823181212878392
191,NYSE:TDG,TDG,Transdigm Group Inc.,transdigm-group,stock,['common'],2792000000.0,USD,1409.55,100,1,false,0,USD,1.423257085704827,365941,79428544740.58067,46.79563366908576,30.1214,11.438983333025037,0.0,Electronic technology,Electronic Technology,america,1.3125,0.7918286552733147
192,NYSE:VIK,VIK,Viking Holdings Ltd,viking-ltd,stock,['common'],2765555000.0,USD,57.8,100,1,false,0,USD,2.1562389536938826,3251838,25614555890.827145,46.923201818477025,1.2318,,0.0,Consumer services,Consumer Services,america,1.34375,1.3185359094505091
193,NASDAQ:BIIB,BIIB,Biogen Inc.,biogen,stock,['common'],2758800000.0,USD,128.0,100,1,false,0,USD,-2.0433152215504613,1070291,18766667705.823833,12.24528843394241,10.453,31.65153213516543,0.0,Health technology,Health Technology,america,1.597222,0.5958230465824754
194,NASDAQ:PSKY,PSKY,Paramount Skydance Corporation,,stock,['common'],2739000000.0,USD,10.12,100,1,false,0,USD,-3.710751665080881,51335875,10774291836.041864,,-0.0253,99.70087491132655,1.90294957183635,Commercial services,Commercial Services,america,2.25,
195,NYSE:HPQ,HPQ,HP Inc.,hp,stock,['common'],2730000000.0,USD,25.51,100,1,false,0,USD,-2.297970126388349,7540055,23960851937.91038,9.83195868341941,2.5946,-12.59558699679974,4.38069705093834,Technology services,Technology Services,america,1.888889,0.9880145147970131
196,NASDAQ:OKTA,OKTA,"Okta, Inc.",okta,stock,['common'],2725000000.0,USD,88.51,100,1,false,0,USD,-3.3205898416165947,3885332,15495749065.487165,137.41655022512032,0.6441,,0.0,Technology services,Technology Services,america,1.5,1.2100519222080026
197,NASDAQ:SOFI,SOFI,"SoFi Technologies, Inc.",sofi,stock,['common'],2720770000.0,USD,22.42,100,1,false,0,USD,1.4479638009049787,58396727,26576343324.922173,45.219846712384026,0.4958,,0.0,Finance,Finance,america,1.978261,0.6240830547894016
198,NYSE:MCK,MCK,McKesson Corporation,mckesson,stock,['common'],2683000000.0,USD,672.77,100,1,false,0,USD,0.6267013670764816,830830,83682089399.89896,26.84422631872955,25.062,12.105136027339674,0.424780878877621,Distribution services,Distribution Services,america,1.289474,0.7338716807925387
199,NYSE:DHI,DHI,"D.R. Horton, Inc.",dr-horton,stock,['common'],2664900000.0,USD,154.96,100,1,false,0,USD,-0.9840255591054262,2914738,46197223007.85892,12.420747200602763,12.4759,-16.206141529203162,0.958466453674122,Consumer durables,Consumer Durables,america,1.825,0.7814778831129487
200,NYSE:PINS,PINS,"Pinterest, Inc.",pinterest,stock,['common'],2659375000.0,USD,34.19,100,1,false,0,USD,-2.67577569029321,17711030,23088811539.17677,12.22206334453421,2.7974,916.497093023256,0.0,Technology services,Technology Services,america,1.255814,1.2476189105570055
