,ticker,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
302,AMEX:SRXH,SRXH,"SRX Health Solutions, Inc.",better-choice-company,stock,['common'],14.879906268306975,0.3793,10000,1,false,0,USD,8.124287343215515,611185,12592308.040478906,USD,0.1509771922143056,2.5123,,0.0,Health technology,Health Technology,america,,1.9351034222915962
303,NASDAQ:DSGN,DSGN,"Design Therapeutics, Inc.",design-therapeutics,stock,['common'],14.869176770899815,4.82,100,1,false,0,USD,12.616822429906543,195303,274489970.3831776,USD,,-1.1189,-24.599109131403115,0.0,Health technology,Health Technology,america,1.666667,2.1775191603133437
304,NASDAQ:ZENV,ZENV,Zenvia Inc.,zenvia,stock,['common'],14.864864864864863,1.68,100,1,false,0,USD,0.900900900900895,24460,88097939.74774775,USD,,-0.3094,37.95869260076198,0.0,Technology services,Technology Services,america,2.0,0.8338475279454828
305,NYSE:BHVN,BHVN,Biohaven Ltd.,biohaven-pharmaceutical,stock,['common'],14.846702247847599,13.41,100,1,false,0,USD,-9.023066485753054,2860257,1369328951.6071913,USD,,-9.3655,-37.00263311878292,0.0,Health technology,Health Technology,america,1.125,1.1916455487997082
306,NASDAQ:VERU,VERU,Veru Inc.,,stock,['common'],14.828030825512007,3.59,100,1,false,0,USD,-3.6758787228333785,471591,546318282.0,USD,,-0.2196,36.25544267053701,0.0,Health technology,Health Technology,america,1.166667,2.617356345270522
307,NASDAQ:OCC,OCC,Optical Cable Corporation,optical-cable-corporation,stock,['common'],14.82699619771864,5.37,100,1,false,0,USD,-9.8993288590604,65930,44185674.56879195,USD,,-0.3843,29.53795379537954,0.0,Electronic technology,Electronic Technology,america,,0.8679373947660466
308,NYSE:ASPN,ASPN,"Aspen Aerogels, Inc.",aspen-aerogels,stock,['common'],14.81318146565489,6.95,100,1,false,0,USD,-7.947019867549663,4790503,572405412.4039735,USD,,-3.8142,-52149.315068493146,0.0,Process industries,Process Industries,america,1.5,1.3647253099253485
309,NASDAQ:INSG,INSG,Inseego Corp.,inseego,stock,['common'],14.793328498912249,7.13,100,1,false,0,USD,4.3923865300146385,194218,107003913.44802342,USD,21.724558196221817,0.3282,,0.0,Electronic technology,Electronic Technology,america,1.666667,1.1294922524710442
310,NASDAQ:BDSX,BDSX,"Biodesix, Inc.",biodesix,stock,['common'],14.775796866558624,0.3903,10000,1,false,0,USD,-2.5468164794007593,1126444,57231000.71985018,USD,,-0.2804,39.228435197225835,0.0,Health services,Health Services,america,1.2,0.7010720868010847
311,NASDAQ:INGN,INGN,"Inogen, Inc",inogen,stock,['common'],14.774494556765166,7.04,100,1,false,0,USD,8.64197530864197,428549,189286180.24691355,USD,,-1.0596,73.28761943176949,0.0,Health technology,Health Technology,america,1.666667,1.3560201041405617
312,NASDAQ:ALEC,ALEC,"Alector, Inc.",alector,stock,['common'],14.726840855106891,2.23,100,1,false,0,USD,3.720930232558143,4208557,225703497.455814,USD,,-1.1653,35.461896322552064,0.0,Health technology,Health Technology,america,1.5,2.790213956821187
313,NASDAQ:HCTI,HCTI,"Healthcare Triangle, Inc.",,stock,['common'],14.72602739726028,3.09,100,1,false,0,USD,-7.761194029850753,718838,18020309.964179102,USD,,-227.845,45.83958800576678,0.0,Technology services,Technology Services,america,,0.282739025448331
