,ticker,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
380,NASDAQ:LQDA,LQDA,Liquidia Corporation,liquidia,stock,['common'],86.1281826163301,21.2,100,1,false,0,USD,3.6674816625916873,3492588,1812271890.3471882,USD,,-1.5648,0.261329593983045,0.0,Health technology,Health Technology,america,1.222222,1.3879858652750146
381,NYSE:LRN,LRN,"Stride, Inc.",k12,stock,['common'],85.99159248269042,150.43,100,1,false,0,USD,0.6557377049180451,718010,6562797834.285246,USD,24.999169076345265,6.0174,28.954417847116577,0.0,Consumer services,Consumer Services,america,1.166667,0.812398062717841
382,NYSE:TDS,TDS,"Telephone and Data Systems, Inc.",telephone-and-data-systems,stock,['common'],85.92023065833735,38.69,100,1,false,0,USD,-0.15483870967742522,2368313,4147880183.8689027,USD,,-1.0343,78.68828813978406,0.412903225806452,Communications,Communications,america,1.25,1.8665654588058604
383,NYSE:TOST,TOST,"Toast, Inc.",toast,stock,['common'],85.66523605150213,43.26,100,1,false,0,USD,0.41782729805013863,7887775,25220581072.4624,USD,126.15923009623798,0.3429,,0.0,Technology services,Technology Services,america,1.534483,0.760984012425618
384,NASDAQ:ATNF,ATNF,180 Life Sciences Corp.,180-life-sciences,stock,['common'],85.55555555555554,3.34,100,1,false,0,USD,11.333333333333329,3779765,514467127.15999997,USD,,-5.692,80.01846501651671,0.0,Health technology,Health Technology,america,,1.0750283321707326
385,NYSE:COHR,COHR,Coherent Corp.,coherent,stock,['common'],85.52996896945942,113.6,100,1,false,0,USD,-1.593901593901597,4004580,17658053986.417183,USD,,-0.2272,92.06648508974091,0.0,Electronic technology,Electronic Technology,america,1.23913,1.310878397335623
386,NASDAQ:VSEC,VSEC,VSE Corporation,vse,stock,['common'],85.46595847416704,153.64,100,1,false,0,USD,0.09120521172637548,216067,3176709962.9441037,USD,87.94001488180412,1.7471,121.544509256911,0.260586319218241,Industrial services,Industrial Services,america,1.0,0.6893518592371624
387,NASDAQ:TARS,TARS,"Tarsus Pharmaceuticals, Inc.",tarsus-pharmaceuticals,stock,['common'],85.44444444444444,50.07,100,1,false,0,USD,4.639498432601878,1174796,2113660105.2426329,USD,,-2.3282,48.06023424428333,0.0,Health technology,Health Technology,america,1.125,1.5828450699557117
388,NASDAQ:HOTH,HOTH,"Hoth Therapeutics, Inc.",hoth-therapeutics,stock,['common'],85.30351437699679,1.16,100,1,false,0,USD,-2.521008403361347,222305,15322341.546218487,USD,,-1.1462,43.30233478432923,0.0,Health technology,Health Technology,america,1.0,0.8455487594523037
389,NASDAQ:NEOV,NEOV,NeoVolta Inc.,neovolta,stock,['common'],84.4106463878327,4.85,100,1,false,0,USD,-1.4227642276422823,174484,165505623.0487805,USD,,-0.1232,-115.76182136602453,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.9158534332168772
390,NYSE:EAF,EAF,GrafTech International Ltd.,graftech-international,stock,['common'],84.4038130957962,1.18,100,1,false,0,USD,-7.086614173228353,1423407,304618680.8031496,USD,,-0.8193,26.21577809798271,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,0.7403758504670759
391,NASDAQ:UPST,UPST,"Upstart Holdings, Inc.",upstart,stock,['common'],83.357411152846,63.46,100,1,false,0,USD,-7.7079697498545725,13072100,6105978155.659394,USD,,-0.0763,96.72714794320765,0.0,Finance,Finance,america,1.8125,1.5703709971898479
392,NASDAQ:ROAD,ROAD,"Construction Partners, Inc.",construction-partners,stock,['common'],83.27953518398967,113.56,100,1,false,0,USD,1.1940830511495308,765184,6331575992.670825,USD,83.00562824354944,1.3681,1.8689501116902547,0.0,Industrial services,Industrial Services,america,1.3,1.1256531447672877
