,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
473,NASDAQ,MNSB,"MainStreet Bancshares, Inc.",mainstreet-bancshares-depositary-shares,stock,['common'],1.7566028876628712,21.3,100,1,false,0,USD,-1.7980636237897676,29929,164135668.0359613,USD,,-1.4568,-172.12595306465988,1.84416781927155,1.0,Finance,Finance,america
474,NASDAQ,EGAN,eGain Corporation,egain,stock,['common'],1.7565858137476384,8.93,100,1,false,0,USD,10.110974106041928,212738,248706676.12453765,USD,7.698939563755497,1.1599,370.7386363636363,0.0,1.5,Technology services,Technology Services,america
475,NASDAQ,CCBG,Capital City Bank Group,capital-city-bank,stock,['common'],1.7554608680225892,43.52,100,1,false,0,USD,0.5545286506469547,53435,742734544.5619224,USD,12.753113553113554,3.4125,13.477653631284916,2.17190388170055,1.333333,Finance,Finance,america
476,NYSE,WAL,Western Alliance Bancorporation,western-alliance-bancorp,stock,['common'],1.7553682062296394,89.05,100,1,false,0,USD,0.632839868911744,1706497,9828342521.543678,USD,11.708477963605764,7.6056,14.518023308338602,1.71770821561758,1.1,Finance,Finance,america
477,NASDAQ,USEA,United Maritime Corporation,united-maritime,stock,['common'],1.7550765134866855,1.715,100,1,false,0,USD,0.8823529411764779,30588,15785318.005882354,USD,,-0.7206,-196.517546209483,7.35294117647059,1.0,Transportation,Transportation,america
478,NASDAQ,FLYW,Flywire Corporation - Voting,flywire,stock,['common'],1.7540017141544086,13.06,100,1,false,0,USD,-2.1722846441947503,3942567,1597373077.574532,USD,317.7615571776156,0.0411,,0.0,1.6875,Commercial services,Commercial Services,america
479,NASDAQ,ENSC,"Ensysce Biosciences, Inc.",ensysce-biosciences,stock,['common'],1.7531307182067835,2.07,100,1,false,0,USD,-1.8957345971564,98108,6144679.236966824,USD,,-3.801,90.80531506491432,0.0,,Health technology,Health Technology,america
480,NYSE,RDW,Redwire Corporation,redwire,stock,['common'],1.7528848886686457,9.06,100,1,false,0,USD,4.257767548906801,4790877,1305001723.3670886,USD,,-3.2512,-230.67534580960128,0.0,1.277778,Electronic technology,Electronic Technology,america
481,NASDAQ,BUUU,BUUU Group Limited,,stock,['common'],1.7527616933811838,7.3,100,1,false,0,USD,3.693181818181815,117509,83950000.0,USD,,,,0.0,,Commercial services,Commercial Services,america
482,NASDAQ,CGEN,Compugen Ltd.,compugen,stock,['common'],1.7498909151093858,1.38,100,1,false,0,USD,2.9850746268656576,465205,129078803.59701492,USD,,-0.2104,-97.37335834896811,0.0,1.0,Health technology,Health Technology,america
483,NASDAQ,EVGO,EVgo Inc.,evgo,stock,['common'],1.7492037873550768,4.29,100,1,false,0,USD,4.379562043795613,5107695,1319136015.2773724,USD,,-0.4021,1.3009327442317062,0.0,1.272727,Retail trade,Retail Trade,america
