,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
398,NASDAQ,REAL,"The RealReal, Inc.",the-realreal,stock,['common'],9.83,0.39000000000000057,4.131355932203396,10386,2.012711864406793,10.0,5.932203389830514,6148752,1152372690.677966,206.9665449495746,100,1,false,0,USD,USD
399,NYSE,RRX,Regal Rexnord Corporation,regal-beloit,stock,['common'],141.96,3.0999999999999943,2.2324643525853336,1100,2.009217917326798,141.07,1.591531038455984,843768,9363408282.249313,-11.235674105791697,100,1,false,0,USD,USD
400,NASDAQ,MCGA,Yorkville Acquisition Corp.,yorkville-acquisition,stock,['common'],10.54,0.0799999999999983,0.764818355640519,12970,2.0076481835563964,10.45,-0.09560229445508187,126166,186336562.5,,100,1,false,0,USD,USD
401,NASDAQ,ZURA,Zura Bio Limited,zura-bio-limited,stock,['common'],2.04,0.040000000000000036,2.0000000000000018,100,2.0000000000000018,1.92,-4.0000000000000036,339750,124834673.27999999,-49.641918698978564,100,1,false,0,USD,USD
402,NASDAQ,HURA,"TuHURA Biosciences, Inc.",kintara-therapeutics,stock,['common'],2.58,0.08000000000000007,3.200000000000003,8369,1.9999999999999927,2.39,-4.399999999999995,346935,119612149.316,1207.2253901045274,100,1,false,0,USD,USD
403,NASDAQ,KALV,"KalVista Pharmaceuticals, Inc.",kalvista-pharmaceuticals,stock,['common'],14.25,0.2400000000000002,1.713062098501072,541,1.9985724482512446,13.62,-2.783725910064244,895207,688126996.0214132,16.196541539423578,100,1,false,0,USD,USD
404,NASDAQ,CBAT,"CBAK Energy Technology, Inc.",cbak-energy-technology,stock,['common'],0.96,0.07889999999999997,8.954715696288726,898,1.9975031210986336,0.8785,-0.2950856883441206,312964,77875366.8266939,-9.244914745857368,10000,1,false,0,USD,USD
405,NASDAQ,RMNI,"Rimini Street, Inc.",rimini-street,stock,['common'],4.6,0.08999999999999986,1.9955654101995532,1923,1.9955654101995532,4.59,1.7738359201773852,221731,424657631.195122,150.95403055605507,100,1,false,0,USD,USD
406,NYSE,WMS,"Advanced Drainage Systems, Inc.",advanced-drainage-system,stock,['common'],144.31,2.819999999999993,1.9930737154569178,500,1.9930737154569178,142.78,0.9117252102622037,506106,11101517979.827547,-7.887459191488888,100,1,false,0,USD,USD
407,NASDAQ,BOOM,DMC Global Inc.,dmc-global,stock,['common'],7.17,0.13999999999999968,1.9914651493598816,500,1.9914651493598816,7.0,-0.4267425320056934,246484,144068895.87482217,-44.37037228737022,100,1,false,0,USD,USD
408,NYSE,CNP,"CenterPoint Energy, Inc (Holding Co)",centerpoint-energy,stock,['common'],39.0,0.759999999999998,1.9874476987447647,260,1.9874476987447647,38.29,0.13075313807530636,3695780,24998196898.840477,38.374270161688536,100,1,false,0,USD,USD
409,NASDAQ,ADVM,"Adverum Biotechnologies, Inc.",adverum-biotechnologies,stock,['common'],3.08,0.06000000000000005,1.986754966887419,100,1.986754966887419,3.07,1.655629139072842,34937,64421368.96357615,-55.228601852681,100,1,false,0,USD,USD
410,NASDAQ,FCHL,Fitness Champs Holdings Limited,,stock,['common'],5.55,0.009999999999999787,0.18050541516245103,9600,1.9855595667870092,5.19,-6.317689530685914,641218,88230000.0,,100,1,false,0,USD,USD
411,NYSE,CPS,Cooper-Standard Holdings Inc.,cooper-standard-holdings-inc,stock,['common'],38.6,0.75,1.9815059445178336,450,1.9815059445178336,39.08,3.249669749009239,148290,689113690.1611624,142.6448997372559,100,1,false,0,USD,USD
