,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
446,NASDAQ,SWIN,Solowin Holdings,solowin,stock,['common'],159840965.7352941,USD,2.8,100,1,false,0,USD,2.9411764705882213,669188,,-0.0468,-121.80094786729858,0.0,0.2673043953427805,,Finance,Finance,america
447,NYSE,DV,"DoubleVerify Holdings, Inc.",doubleverify,stock,['common'],2526422066.7679996,USD,15.44,100,1,false,0,USD,2.93333333333333,2372453,50.34235409194653,0.3067,-12.12034383954155,0.0,1.2431391507145217,1.571429,Technology services,Technology Services,america
448,NYSE,JOE,St. Joe Company (The),the-st-joe-company,stock,['common'],3048288378.825186,USD,52.64,100,1,false,0,USD,2.933124755572937,323344,37.04433497536946,1.421,16.724166255955314,1.09503324208056,1.294543678397915,,Finance,Finance,america
449,NASDAQ,ANTA,Antalpha Platform Holding Company,antalpha-platform-company,stock,['common'],295911000.0,USD,12.81,100,1,false,0,USD,2.9329047810365627,17889,,,,0.0,0.8150071755620857,1.0,Finance,Finance,america
450,NYSE,RIG,Transocean Ltd (Switzerland),transocean-limited,stock,['common'],2980274935.153095,USD,3.16,100,1,false,0,USD,2.931596091205222,28133155,,-1.846,-301.82847191989555,0.0,1.1872852356730905,1.775,Industrial services,Industrial Services,america
451,NASDAQ,NTWK,NETSOL Technologies Inc.,netsol-technologies,stock,['common'],49414271.151219524,USD,4.22,100,1,false,0,USD,2.926829268292686,26188,201.91387559808612,0.0209,,0.0,0.8138378539641499,,Technology services,Technology Services,america
452,NASDAQ,NEOV,NeoVolta Inc.,neovolta,stock,['common'],132404495.70291774,USD,3.88,100,1,false,0,USD,2.917771883289121,269529,,-0.1232,-115.76182136602453,0.0,1.9611979265201107,,Producer manufacturing,Producer Manufacturing,america
453,NYSE,AMC,"AMC Entertainment Holdings, Inc.",amc-entertainment-holdings,stock,['common'],1451630225.4036365,USD,2.83,100,1,false,0,USD,2.9090909090909114,10214071,,-0.8902,39.83509056501757,0.0,1.122518899074434,2.0,Consumer services,Consumer Services,america
454,NYSE,ASC,Ardmore Shipping Corporation,ardmore-shipping,stock,['common'],503330466.76744187,USD,12.39,100,1,false,0,USD,2.906976744186059,837985,12.025623604775308,1.0303,-70.56790264526082,3.15614617940199,2.0347190471322696,1.0,Transportation,Transportation,america
455,NASDAQ,VC,Visteon Corporation,visteon-corporation,stock,['common'],3512101523.78806,USD,128.76,100,1,false,0,USD,2.9009829777031855,289050,12.275366325684267,10.4893,-45.76173904950024,0.219771437704787,1.0382356638709793,1.444444,Producer manufacturing,Producer Manufacturing,america
