,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
126,NASDAQ,ATMV,AlphaVest Acquisition Corp,alphavest-acquisition,stock,['common'],22.04255319148936,14.28,100,1,false,0,USD,-0.4184100418410076,6108,55047344.635983266,USD,70.10309278350515,0.2037,-32.280585106382986,0.0,0.22639998813883494,,Finance,Finance,america
127,NASDAQ,RZLV,Rezolve AI PLC,rezolve-ai-limited,stock,['common'],22.002820874471094,7.72,100,1,false,0,USD,14.201183431952662,34765304,1881143051.5443788,USD,,,,0.0,1.5270842998596483,1.0,Technology services,Technology Services,america
128,NASDAQ,MIMI,Mint Incorporation Limited,mint-incorporation-limited,stock,['common'],21.475409836065573,10.75,100,1,false,0,USD,14.240170031880975,3726657,193634375.0,USD,,-0.0082,,0.0,2.4175069038597394,,Commercial services,Commercial Services,america
129,NASDAQ,NEGG,"Newegg Commerce, Inc.",newegg-commerce,stock,['common'],21.40086576101824,43.5,100,1,false,0,USD,-1.0914051841746177,2985342,843743410.8799454,USD,,,,0.0,1.1291838845905806,,Retail trade,Retail Trade,america
130,NASDAQ,BRY,Berry Corporation (bry),berry-corporation,stock,['common'],21.236559139784934,4.01,100,1,false,0,USD,21.148036253776425,15618268,311181587.347432,USD,62.267080745341616,0.0644,,3.62537764350453,13.11242904797322,1.583333,Energy minerals,Energy Minerals,america
131,NASDAQ,TRNR,Interactive Strength Inc.,interactive-strength,stock,['common'],20.967741935483865,3.41,100,1,false,0,USD,-2.2922636103151883,189123,5950532.074498568,USD,,-1626.6147,98.46246166113892,0.0,0.28238258919166126,1.0,Retail trade,Retail Trade,america
132,NASDAQ,VSTD,Vestand Inc.,yoshiharu-global-co,stock,['common'],20.938925842449578,1.87,100,1,false,0,USD,-12.206572769953041,1564603,26413712.6,USD,,-0.5727,-6.370728083209509,0.0,0.20133787383726667,,Consumer services,Consumer Services,america
133,NASDAQ,CIGL,Concorde International Group Ltd,concorde-international-ltd,stock,['common'],20.860927152317878,3.18,100,1,false,0,USD,-8.092485549132942,132593,77249295.55999999,USD,,,,0.0,0.008330083110096052,,Commercial services,Commercial Services,america
134,NASDAQ,GSIW,Garden Stage Limited,garden-stage-limited,stock,['common'],20.8434712084347,0.144,10000,1,false,0,USD,9.339407744874698,10364044,10249749.430523917,USD,,-0.0354,6.100795755968161,0.0,0.5987247136862799,,Finance,Finance,america
135,NASDAQ,LGN,Legence Corp.,,stock,['common'],20.65064889512451,30.55,100,1,false,0,USD,0.16393442622951052,2441486,,USD,,,,,,,Industrial services,Industrial Services,america
136,NASDAQ,COCP,"Cocrystal Pharma, Inc.",cocrystal-pharma,stock,['common'],20.610687022900763,1.43,100,1,false,0,USD,-9.493670886075957,1917095,14670179.031645566,USD,,-1.2346,29.971639251276233,0.0,0.22904194709125586,1.0,Health technology,Health Technology,america
