,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
91,NASDAQ:MCVT,MCVT,"Mill City Ventures III, Ltd.",mill-city-ventures-iii-ltd,streaming,stock,['common'],,5.54,100,1,false,0,USD,-8.429752066115698,1141711,28.929503916449086,0.1915,,0.0,Finance,Finance,america,,0.0748361697205051
92,NASDAQ:INKT,INKT,"MiNK Therapeutics, Inc.",mink-therapeutics,streaming,stock,['common'],,15.16,100,1,false,0,USD,-8.343409915356705,179433,,-2.5049,58.0031855142929,0.0,Health technology,Health Technology,america,1.666667,0.4126939149422691
93,NASDAQ:GSUN,GSUN,Golden Sun Health Technology Group Limited,golden-sun-health-technology-limited,streaming,stock,['common'],,2.32,100,1,false,0,USD,-8.300395256916996,1232,,,,0.0,Commercial services,Commercial Services,america,,0.028327765118679998
94,NYSE:PBF,PBF,PBF Energy Inc.,pbf-energy,streaming,stock,['common'],,22.6,100,1,false,0,USD,-8.241981323589108,9924105,,-9.1131,-163.09525457994653,4.36459602111247,Energy minerals,Energy Minerals,america,2.178571,3.2550420474562007
95,NASDAQ:AUUD,AUUD,Auddia Inc.,auddia,streaming,stock,['common'],,4.175,100,1,false,0,USD,-8.241758241758241,38441,,-32.6192,82.6649816601424,0.0,Technology services,Technology Services,america,,1.153778044571176
96,NASDAQ:ELSE,ELSE,"Electro-Sensors, Inc.",electro-sensors,streaming,stock,['common'],,4.27,100,1,false,0,USD,-8.219413635972844,37357,39.57367933271547,0.1079,12.278876170655558,0.0,Electronic technology,Electronic Technology,america,,9.786492717174893
97,NASDAQ:ALGS,ALGS,"Aligos Therapeutics, Inc.",aligos-therapeutics,streaming,stock,['common'],,7.28,100,1,false,0,USD,-8.196721311475404,58184,,-17.453,-9.466435018220361,0.0,Health technology,Health Technology,america,1.0,0.7650132402092057
98,NASDAQ:MRNA,MRNA,"Moderna, Inc.",moderna,streaming,stock,['common'],,29.56,100,1,false,0,USD,-8.055987558320373,14459103,,-8.7228,44.356412906189,0.0,Health technology,Health Technology,america,1.928571,1.9992969117837365
99,NASDAQ:SLSN,SLSN,"Solesence, Inc.",nanophase-technologies,streaming,stock,['common'],,3.43,100,1,false,0,USD,-8.042895442359246,88417,68.6,0.05,,0.0,Consumer non-durables,Consumer Non-Durables,america,,1.0592274636978858
100,NASDAQ:KRRO,KRRO,"Korro Bio, Inc.",korro-bio,streaming,stock,['common'],,14.96,100,1,false,0,USD,-7.9950799507995125,167963,,-9.4387,75.25015470783818,0.0,Health technology,Health Technology,america,1.0,1.2634268675757312
101,NASDAQ:LPRO,LPRO,Open Lending Corporation,open-lending,streaming,stock,['common'],,2.19,100,1,false,0,USD,-7.983193277310923,768308,,-1.1689,-1070.8471760797345,0.0,Technology services,Technology Services,america,1.5625,0.9776320174396641
102,NASDAQ:BMRA,BMRA,"Biomerica, Inc.",biomerica,streaming,stock,['common'],,3.24,100,1,false,0,USD,-7.954545454545449,65685,,-2.2305,26.13015399900645,0.0,Health technology,Health Technology,america,,1.2648343882445598
103,NASDAQ:ALMU,ALMU,"Aeluma, Inc.",aeluma,streaming,stock,['common'],,22.12,100,1,false,0,USD,-7.948397836038286,324747,,-0.2675,,0.0,Commercial services,Commercial Services,america,1.0,0.8469812240980447
104,NASDAQ:SIRI,SIRI,SiriusXM Holdings Inc.,sirius-xm,streaming,stock,['common'],,21.12,100,1,false,0,USD,-7.893589184474482,15467646,,-5.0543,-251.457852626532,4.69254252071522,Consumer services,Consumer Services,america,2.029412,5.621545126561634
105,NYSE:VFC,VFC,V.F. Corporation,v-f,streaming,stock,['common'],,11.72,100,1,false,0,USD,-7.861635220125786,21324866,53.95948434622468,0.2172,,2.83018867924528,Consumer non-durables,Consumer Non-Durables,america,1.92,2.1038590324888884
106,NASDAQ:PTIX,PTIX,"Protagenic Therapeutics, Inc.",protagenic-therapeutics,streaming,stock,['common'],,2.94,100,1,false,0,USD,-7.836990595611286,90694,,-13.1415,31.655069117234063,0.0,Health technology,Health Technology,america,,0.8305440652464373
