,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
76,NASDAQ:TGL,TGL,Treasure Global Inc.,treasure-global,streaming,stock,['common'],27.049180327868857,1.29,100,1,false,0,USD,-16.7741935483871,1084491,3425391.096774193,USD,,-63.2225,95.03096212236962,0.0,Commercial services,Commercial Services,america,,0.19374818633131202
77,NASDAQ:PYPD,PYPD,PolyPid Ltd.,polypid-ltd,streaming,stock,['common'],26.985559566787003,3.5,100,1,false,0,USD,4.1666666666666705,1649506,35668164.583333336,USD,,-4.306,50.7638126600805,0.0,Health technology,Health Technology,america,1.0,0.7264473160478697
78,NASDAQ:LYRA,LYRA,"Lyra Therapeutics, Inc.",,streaming,stock,['common'],26.875407697325503,15.5,100,1,false,0,USD,-15.829486831387452,582786,20542839.77735542,USD,,-60.7115,2.7082682307316293,0.0,Health technology,Health Technology,america,2.0,0.16294140853462105
79,NASDAQ:LWLG,LWLG,"Lightwave Logic, Inc.",lightwave-logic,streaming,stock,['common'],26.776785714285698,1.3,100,1,false,0,USD,10.169491525423737,2424517,162553491.69491526,USD,,-0.177,2.5866813428728728,0.0,Process industries,Process Industries,america,,2.332927659831607
80,NASDAQ:LTBR,LTBR,Lightbridge Corporation,lightbridge,streaming,stock,['common'],26.466902130568524,13.43,100,1,false,0,USD,-14.62174189446917,3754125,316253990.0222505,USD,,-0.8494,-25.98635419756749,0.0,Process industries,Process Industries,america,,1.3763765048254797
81,NASDAQ:PTLE,PTLE,PTL LTD,ptl-ltd,streaming,stock,['common'],26.44665461121157,0.24,10000,1,false,0,USD,-8.952959028831566,4906422,3285000.0,USD,,-0.0171,-634.375,0.0,Transportation,Transportation,america,,0.7215855456462507
82,NASDAQ:CTOR,CTOR,"Citius Oncology, Inc.",citius-pharmaceuticals,streaming,stock,['common'],26.126126126126106,1.28,100,1,false,0,USD,4.065040650406507,773647,91587071.99999999,USD,,,,0.0,Health technology,Health Technology,america,2.0,0.6029191171107028
83,NYSE:CATO,CATO,Cato Corporation (The),cato-the,streaming,stock,['common'],26.066147859922186,3.05,100,1,false,0,USD,17.760617760617762,162114,60197873.55212356,USD,,-1.319,-69.73362501608543,26.2548262548263,Retail trade,Retail Trade,america,,5.017393780330791
84,AMEX:ROLR,ROLR,"High Roller Technologies, Inc.",high-roller-technologies,streaming,stock,['common'],25.974025974025977,2.31,100,1,false,0,USD,-9.959072305593454,29660,19466021.19,USD,,-0.8814,-63.43408121639161,0.0,Technology services,Technology Services,america,,0.13329564263465174
85,NASDAQ:CLRO,CLRO,"ClearOne, Inc.",clearone,streaming,stock,['common'],25.947265625,6.005,100,1,false,0,USD,-6.877568426765918,41101,167660992.0,USD,,-0.41,-504.71976401179927,0.0,Consumer durables,Consumer Durables,america,,1.5202828915002522
